"code","size","source","is_dup"
"BIJN-191","4.99","E盘日本骑兵","0"
"BIJN-200","4.98","E盘日本骑兵","0"
"BIJN-243","5.12","F盘日本骑兵","0"
"BIJN-267","5.15","F盘日本骑兵","0"
"BIJN-269","-","115网盘数据","0"
"BIJN-273","8.71","F盘日本骑兵","0"
"BKC-003","5.2","E盘日本骑兵","0"
"BLK-490","6.46","E盘日本骑兵","0"
"BLK-571","5.03","E盘日本骑兵","0"
"BLK-633","4.97","E盘日本骑兵","0"
"BLK-655","5.06","F盘日本骑兵","0"
"BLOR-211","4.86","E盘日本骑兵","0"
"BNSPS-333","1.3","F盘日本骑兵","0"
"BNSPS-334","0.56","F盘日本骑兵","0"
"BNSPS-335","0.77","F盘日本骑兵","0"
"BNSPS-341","0.73","F盘日本骑兵","0"
"BNSPS-363","1.18","F盘日本骑兵","0"
"BNSPS-370","1.13","E盘日本骑兵","0"
"BNSPS-373","1.79","F盘日本骑兵","0"
"BNSPS-374","1.79","F盘日本骑兵","0"
"BNSPS-398","1.63","F盘日本骑兵","0"
"BNSPS-424","0.74","F盘日本骑兵","0"
"BNSPS-431","0.96","F盘日本骑兵","0"
"BNSPS-432","5.8","F盘日本骑兵","0"
"BNST-031","7.32","E盘日本骑兵","0"
"BNST-081","6.31","F盘日本骑兵","0"
"BONY-054","5.88","E盘日本骑兵","0"
"BONY-167","-","115网盘数据","0"
"BOOBS-003","-","115网盘数据","0"
"BSK-010","4.94","F盘日本骑兵","0"
"BSK-012","9.47","F盘日本骑兵","0"
"BSK-013","5.19","F盘日本骑兵","0"
"CAWD-018","4.97","E盘日本骑兵","0"
"CAWD-404","6.33","E盘日本骑兵","0"
"CAWD-628","6.04","E盘日本骑兵","0"
"CAWD-723","7.65","F盘日本骑兵","0"
"CAWD-797","6.16","F盘日本骑兵","0"
"CAWD-807","6.24","F盘日本骑兵","0"
"CAWD-900","-","115网盘数据","0"
"CAWD-906","-","115网盘数据","0"
"CAWD-909","-","115网盘数据","0"
"CAWD-939","-","115网盘数据","0"
"CCX-008","0.54","F盘日本骑兵","0"
"CCX-009","0.49","F盘日本骑兵","0"
"CCX-010","0.63","F盘日本骑兵","0"
"CEAD-114","3.37","F盘日本骑兵","0"
"CEAD-275","-","115网盘数据","0"
"CEAD-707","-","115网盘数据","0"
"CEFD-006","7.57","F盘日本骑兵","0"
"CEMD-445","6.33","E盘日本骑兵","0"
"CEMD-525","5.38","E盘日本骑兵","0"
"CEMD-529","5.25","E盘日本骑兵","0"
"CEMD-561","6.73","F盘日本骑兵","0"
"CEMD-783","-","115网盘数据","0"
"CESD-091","2.22","F盘日本骑兵","0"
"CESD-101","6.49","E盘日本骑兵","0"
"CESD-113","8.93","E盘日本骑兵","0"
"CESD-122","3.79","F盘日本骑兵","0"
"CESD-162","1.22","F盘日本骑兵","0"
"CETD-026","0.59","E盘日本骑兵","0"
"CJOD-205","6.12","F盘日本骑兵","0"
"CJOD-232","6.04","F盘日本骑兵","0"
"CJOD-249","5.23","F盘日本骑兵","0"
"CJOD-302","7.39","E盘日本骑兵","0"
"CJOD-370","7.06","E盘日本骑兵","0"
"CJOD-409","7.56","F盘日本骑兵","0"
"CJOD-413","6.67","F盘日本骑兵","0"
"CLOT-004","5.18","E盘日本骑兵","0"
"CLOT-006","5.0","E盘日本骑兵","0"
"CLOT-010","4.96","E盘日本骑兵","0"
"CLOT-011","5.34","E盘日本骑兵","0"
"CLOT-012","5.07","E盘日本骑兵","0"
"CLOT-013","5.02","E盘日本骑兵","0"
"CLOT-016","4.87","F盘日本骑兵","0"
"CLOT-020","5.46","E盘日本骑兵","0"
"CLOT-023","5.11","E盘日本骑兵","0"
"CLOT-024","5.22","E盘日本骑兵","0"
"CLOT-025","3.52","F盘日本骑兵","0"
"CLOT-026","3.5","E盘日本骑兵","0"
"CLOT-027","5.11","F盘日本骑兵","0"
"CLOT-029","3.63","F盘日本骑兵","0"
"CLOT-030","5.59","F盘日本骑兵","0"
"CLOT-032","5.11","F盘日本骑兵","0"
"CLOT-033","5.1","F盘日本骑兵","0"
"CLOT-034","-","115网盘数据","0"
"CLOT-035","-","115网盘数据","0"
"CLOT-037","-","115网盘数据","0"
"CLOT-038","-","115网盘数据","0"
"CLUB-167","2.69","E盘日本骑兵","0"
"CLUB-287","2.94","F盘日本骑兵","0"
"CLUB-454","4.25","E盘日本骑兵","0"
"CLUB-456","4.39","F盘日本骑兵","0"
"CLUB-460","6.45","E盘日本骑兵","0"
"CLUB-461","6.74","F盘日本骑兵","0"
"CLUB-468","6.36","E盘日本骑兵","0"
"CLUB-475","6.26","F盘日本骑兵","0"
"CLUB-481","10.18","F盘日本骑兵","0"
"CLUB-488","7.13","E盘日本骑兵","0"
"CLUB-489","8.44","F盘日本骑兵","0"
"CLUB-496","8.85","F盘日本骑兵","0"
"CLUB-506","6.72","E盘日本骑兵","0"
"CLUB-509","7.89","F盘日本骑兵","0"
"CLUB-526","8.28","F盘日本骑兵","0"
"CLUB-541","3.41","E盘日本骑兵","0"
"CLUB-542","6.75","E盘日本骑兵","0"
"CLUB-552","6.25","E盘日本骑兵","0"
"CLUB-556","4.81","E盘日本骑兵","0"
"CLUB-561","6.39","E盘日本骑兵","0"
"CLUB-573","6.42","E盘日本骑兵","0"
"CLUB-575","5.42","E盘日本骑兵","0"
"CLUB-576","5.13","E盘日本骑兵","0"
"CLUB-579","4.86","F盘日本骑兵","0"
"CLUB-582","9.69","E盘日本骑兵","0"
"CLUB-583","5.99","E盘日本骑兵","0"
"CLUB-602","4.84","F盘日本骑兵","0"
"CLUB-605","9.66","E盘日本骑兵","0"
"CLUB-606","8.54","E盘日本骑兵","0"
"CLUB-609","7.26","E盘日本骑兵","0"
"CLUB-613","10.11","E盘日本骑兵","0"
"CLUB-617","7.53","E盘日本骑兵","0"
"CLUB-621","7.22","E盘日本骑兵","0"
"CLUB-624","7.72","E盘日本骑兵","0"
"CLUB-626","6.21","E盘日本骑兵","0"
"CLUB-628","9.86","E盘日本骑兵","0"
"CLUB-637","6.15","E盘日本骑兵","0"
"CLUB-643","10.32","E盘日本骑兵","0"
"CLUB-647","7.19","E盘日本骑兵","0"
"CLUB-650","7.17","E盘日本骑兵","0"
"CLUB-652","10.09","E盘日本骑兵","0"
"CLUB-654","7.79","E盘日本骑兵","0"
"CLUB-657","10.44","E盘日本骑兵","0"
"CLUB-658","10.15","E盘日本骑兵","0"
"CLUB-660","9.98","E盘日本骑兵","0"
"CLUB-665","9.59","E盘日本骑兵","0"
"CLUB-667","8.96","E盘日本骑兵","0"
"CLUB-669","9.4","E盘日本骑兵","0"
"CLUB-671","10.18","E盘日本骑兵","0"
"CLUB-672","9.48","E盘日本骑兵","0"
"CLUB-673","6.43","E盘日本骑兵","0"
"CLUB-674","9.11","E盘日本骑兵","0"
"CLUB-675","10.05","F盘日本骑兵","0"
"CLUB-679","9.06","E盘日本骑兵","0"
"CLUB-684","10.03","E盘日本骑兵","0"
"CLUB-685","9.62","E盘日本骑兵","0"
"CLUB-688","9.96","E盘日本骑兵","0"
"CLUB-691","-","115网盘数据","0"
"CLUB-693","9.9","E盘日本骑兵","0"
"CLUB-694","10.12","E盘日本骑兵","0"
"CLUB-807","9.83","E盘日本骑兵","0"
"CLUB-809","9.47","F盘日本骑兵","0"
"CLUB-812","9.56","E盘日本骑兵","0"
"CLUB-816","9.34","E盘日本骑兵","0"
"CLUB-821","9.55","E盘日本骑兵","0"
"CLUB-828","9.54","E盘日本骑兵","0"
"CLUB-832","9.6","E盘日本骑兵","0"
"CLUB-835","5.17","F盘日本骑兵","0"
"CLUB-841","9.94","F盘日本骑兵","0"
"CLUB-843","9.59","F盘日本骑兵","0"
"CLUB-846","9.51","F盘日本骑兵","0"
"CLUB-848","3.56","F盘日本骑兵","0"
"CLUB-850","8.67","F盘日本骑兵","0"
"CLUB-852","8.3","F盘日本骑兵","0"
"CLUB-864","-","115网盘数据","0"
"CLUB-878","6.16","F盘日本骑兵","0"
"CLUB-884","-","115网盘数据","0"
"CLUB-886","-","115网盘数据","0"
"CLUB-901","-","115网盘数据","0"
"CMC-256","5.02","E盘日本骑兵","0"
"CPSN-003","2.33","E盘日本骑兵","0"
"CPSN-004","5.05","E盘日本骑兵","0"
"CPSN-005","5.24","E盘日本骑兵","0"
"CPSN-009","5.12","E盘日本骑兵","0"
"CPSN-010","5.22","E盘日本骑兵","0"
"CPSN-011","4.79","E盘日本骑兵","0"
"CRNX-067","2.63","E盘日本骑兵","0"
"CRNX-106","2.13","E盘日本骑兵","0"
"CRNX-133","0.76","E盘日本骑兵","0"
"CRNX-232","1.97","F盘日本骑兵","0"
"CWPBD-153","5.49","E盘日本骑兵","0"
"CXD-017","-","115网盘数据","0"
"DAM-024","2.02","E盘日本骑兵","0"
"DAM-057","1.96","F盘日本骑兵","0"
"DANDY-574","6.04","F盘日本骑兵","0"
"DANDY-681","6.64","E盘日本骑兵","0"
"DANDY-706","9.42","E盘日本骑兵","0"
"DANDY-709","12.05","E盘日本骑兵","0"
"DANDY-726","7.59","E盘日本骑兵","0"
"DANDY-736","8.16","E盘日本骑兵","0"
"DANDY-737","6.65","E盘日本骑兵","0"
"DANDY-753","19.39","F盘日本骑兵","0"
"DANDY-815","8.09","E盘日本骑兵","0"
"DANDY-818","7.34","E盘日本骑兵","0"
"DANDY-824","5.63","E盘日本骑兵","0"
"DANDY-856","8.29","E盘日本骑兵","0"
"DANDY-897","5.3","E盘日本骑兵","0"
"DANDY-900","3.83","E盘日本骑兵","0"
"DANDY-909","5.4","E盘日本骑兵","0"
"DANDY-915","4.2","E盘日本骑兵","0"
"DANDY-944","5.8","F盘日本骑兵","0"
"DANDYA-017","-","115网盘数据","0"
"DASD-521","5.23","F盘日本骑兵","0"
"DASD-541","4.61","F盘日本骑兵","0"
"DASD-599","5.06","F盘日本骑兵","0"
"DASD-664","5.44","F盘日本骑兵","0"
"DASD-732","4.7","E盘日本骑兵","0"
"DASD-866","6.3","E盘日本骑兵","0"
"DASD-875","5.59","F盘日本骑兵","0"
"DASD-938","-","115网盘数据","0"
"DASS-055","4.97","E盘日本骑兵","0"
"DASS-057","5.02","E盘日本骑兵","0"
"DASS-080","5.94","E盘日本骑兵","0"
"DASS-092","6.91","E盘日本骑兵","0"
"DASS-093","5.91","F盘日本骑兵","0"
"DASS-099","5.86","F盘日本骑兵","0"
"DASS-114","6.53","E盘日本骑兵","0"
"DASS-126","6.64","E盘日本骑兵","0"
"DASS-134","4.94","E盘日本骑兵","0"
"DASS-148","4.94","E盘日本骑兵","0"
"DASS-157","6.47","E盘日本骑兵","0"
"DASS-159","4.86","F盘日本骑兵","0"
"DASS-167","6.28","E盘日本骑兵","0"
"DASS-168","5.24","E盘日本骑兵","0"
"DASS-169","5.96","F盘日本骑兵","0"
"DASS-170","6.16","E盘日本骑兵","0"
"DASS-179","5.69","E盘日本骑兵","0"
"DASS-183","6.05","F盘日本骑兵","0"
"DASS-187","4.68","E盘日本骑兵","0"
"DASS-215","4.95","E盘日本骑兵","0"
"DASS-226","5.11","F盘日本骑兵","0"
"DASS-231","9.8","E盘日本骑兵 | F盘日本骑兵","0"
"DASS-250","4.98","F盘日本骑兵","0"
"DASS-265","5.32","E盘日本骑兵","0"
"DASS-281","5.46","E盘日本骑兵","0"
"DASS-304","5.26","E盘日本骑兵","0"
"DASS-313","6.03","E盘日本骑兵","0"
"DASS-326","5.61","E盘日本骑兵","0"
"DASS-333","5.79","E盘日本骑兵","0"
"DASS-336","6.04","E盘日本骑兵","0"
"DASS-356","5.79","E盘日本骑兵","0"
"DASS-357","4.96","E盘日本骑兵","0"
"DASS-359","6.0","E盘日本骑兵","0"
"DASS-367","6.25","E盘日本骑兵","0"
"DASS-374","11.25","E盘日本骑兵 | F盘日本骑兵","0"
"DASS-386","6.36","E盘日本骑兵","0"
"DASS-388","5.64","E盘日本骑兵","0"
"DASS-395","14.38","F盘日本骑兵","0"
"DASS-423","5.71","F盘日本骑兵","0"
"DASS-424","5.79","E盘日本骑兵","0"
"DASS-426","6.25","E盘日本骑兵","0"
"DASS-430","5.19","F盘日本骑兵","0"
"DASS-460","5.65","F盘日本骑兵","0"
"DASS-488","6.38","E盘日本骑兵","0"
"DASS-492","5.01","F盘日本骑兵","0"
"DASS-497","5.71","F盘日本骑兵","0"
"DASS-498","4.81","E盘日本骑兵","0"
"DASS-502","5.55","F盘日本骑兵","0"
"DASS-549","4.95","F盘日本骑兵","0"
"DASS-566","-","115网盘数据","0"
"DASS-626","-","115网盘数据","0"
"DASS-630","5.65","F盘日本骑兵","0"
"DASS-639","6.05","F盘日本骑兵","0"
"DASS-640","5.52","F盘日本骑兵","0"
"DASS-650","4.87","F盘日本骑兵","0"
"DASS-695","5.42","F盘日本骑兵","0"
"DASS-699","5.2","F盘日本骑兵","0"
